Topic,Description,Timeframe,Format & Resolution,Methods,Dataset
Rainfall Variability,"CHIRPS v2.0 daily rainfall data for the period 2010-2023 was summed annually, the mean and standard deviation (SD) of this time-series was used to calculate rainfall coefficient of variation  (CV = SD/mean).",2010-2023,GeoTIFF 0.05° (~5 km),https://www.nature.com/articles/sdata201566,https://data.chc.ucsb.edu/products/CHIRPS-2.0/
Flood Risk,Flood hazard maps showing areas inundated during a 20-year return period flood event.,Historical,GeoTIFF 0.0083° (~1 km),https://doi.org/10.1016/j.advwatres.2016.05.002,https://data.jrc.ec.europa.eu/dataset/jrc-floods-floodmapgl_rp20y-tif
Drought,GDO Risk of Drought Impacts for Agriculture (RDrI-Agri) dataset based on remote sensing data from 2010-2024.,2010-2024,GeoTIFF 1° (~ 111 km),https://doi.org/10.5194/nhess-20-695-2020,"https://drought.emergency.copernicus.eu/
http://data.europa.eu/89h/b4727c91-955f-4e2f-b0cf-dd64145b57e7"
Heat Stress,"Derived from AgERA5, the number of days per month above a critical temperature threshold. We have used a 35° threshold in the interactive tool.",2010-2023,GeoTIFF 0.1° (~ 11 km),https://doi.org/10.24381/cds.6c68c9bb,https://cds.climate.copernicus.eu/cdsapp#!/dataset/sis-agrometeorological-indicators
Growing Season Reduction,[**Brayden to more details about specific future scenario**] Growing season length in days for baseline and future scenario rcp 2.6.,RCP 2.6 2050 vs Historical Baseline,GeoTIFF 0.083° (~9 km),https://pure.iiasa.ac.at/id/eprint/17175/,https://gaez.fao.org/
Global Crop Value and Harvested Area,Global spatial production allocation model estimating crop-specific production and harvested area.,2015,GeoTIFF 0.05° (~5 km),https://doi.org/10.1016/j.agsy.2004.07.009,https://doi.org/10.7910/DVN/SWPENT
Africa Crop Value and Harvested Area,Africa-specific spatial production allocation model commissioned by the Africa Agricultural Adaptation Atlas.,2015,GeoTIFF 0.05° (~5 km),https://doi.org/10.1016/j.agsy.2004.07.009,[[** Brayden to add Atlas S3 locaiton**]]
GCCMI Crop Calendars (Rainfed Maize),"Rainfed maize crop planting and maturity days, provided as Julian days.",1981-2010,NetCDF 0.05° (~5 km),https://www.nature.com/articles/s43016-021-00400-y,https://zenodo.org/record/5062513/files/mai_rf_ggcmi_crop_calendar_phase3_v1.01.nc4
GCCMI Crop Calendars (Irrigated Maize),"Irrigated maize crop planting and maturity days, provided as Julian days.",1981-2010,NetCDF 0.05° (~5 km),https://www.nature.com/articles/s43016-021-00400-y,https://zenodo.org/record/5062513/files/mai_ir_ggcmi_crop_calendar_phase3_v1.01.nc4
CGIAR Boundaries,Administrative boundaries for aggregation and analysis.,Current (static),GeoJSON,,[[** Brayden to add Atlas S3 locaiton**]]
